"","steps","date","interval"
"1",NA,2012-10-01,"0"
"2",NA,2012-10-01,"5"
"3",NA,2012-10-01,"10"
"4",NA,2012-10-01,"15"
"5",NA,2012-10-01,"20"
"6",NA,2012-10-01,"25"
"7",NA,2012-10-01,"30"
"8",NA,2012-10-01,"35"
"9",NA,2012-10-01,"40"
"10",NA,2012-10-01,"45"
"11",NA,2012-10-01,"50"
"12",NA,2012-10-01,"55"
"13",NA,2012-10-01,"100"
"14",NA,2012-10-01,"105"
"15",NA,2012-10-01,"110"
"16",NA,2012-10-01,"115"
"17",NA,2012-10-01,"120"
"18",NA,2012-10-01,"125"
"19",NA,2012-10-01,"130"
"20",NA,2012-10-01,"135"
"21",NA,2012-10-01,"140"
"22",NA,2012-10-01,"145"
"23",NA,2012-10-01,"150"
"24",NA,2012-10-01,"155"
"25",NA,2012-10-01,"200"
"26",NA,2012-10-01,"205"
"27",NA,2012-10-01,"210"
"28",NA,2012-10-01,"215"
"29",NA,2012-10-01,"220"
"30",NA,2012-10-01,"225"
"31",NA,2012-10-01,"230"
"32",NA,2012-10-01,"235"
"33",NA,2012-10-01,"240"
"34",NA,2012-10-01,"245"
"35",NA,2012-10-01,"250"
"36",NA,2012-10-01,"255"
"37",NA,2012-10-01,"300"
"38",NA,2012-10-01,"305"
"39",NA,2012-10-01,"310"
"40",NA,2012-10-01,"315"
"41",NA,2012-10-01,"320"
"42",NA,2012-10-01,"325"
"43",NA,2012-10-01,"330"
"44",NA,2012-10-01,"335"
"45",NA,2012-10-01,"340"
"46",NA,2012-10-01,"345"
"47",NA,2012-10-01,"350"
"48",NA,2012-10-01,"355"
"49",NA,2012-10-01,"400"
"50",NA,2012-10-01,"405"
"51",NA,2012-10-01,"410"
"52",NA,2012-10-01,"415"
"53",NA,2012-10-01,"420"
"54",NA,2012-10-01,"425"
"55",NA,2012-10-01,"430"
"56",NA,2012-10-01,"435"
"57",NA,2012-10-01,"440"
"58",NA,2012-10-01,"445"
"59",NA,2012-10-01,"450"
"60",NA,2012-10-01,"455"
"61",NA,2012-10-01,"500"
"62",NA,2012-10-01,"505"
"63",NA,2012-10-01,"510"
